장소ID,장소명,"구분(1:자연경관,2:박물관/체험관,3:기타",주소
110,산방산,1,제주특별자치도 서귀포시 안덕면 사계리 3578
111,세리월드,2,제주 서귀포시 법환상로2번길 97-13
113,거문오름,1,제주특별자치도 서귀포시 성산읍 성산리 1
115,피규어뮤지엄,2,제주 서귀포시 안덕면 한창로 243
116,성이시돌목장,1,제주특별자치도 제주시 한림읍 금악리 135-1
117,신창풍차해안도로,3,제주특별자치도 제주시 한경면 신창리 1341
118,박물관은살아있다,2,제주특별자치도 서귀포시 예래동 2629
119,올레시장,3,제주특별자치도 서귀포시 중앙동 272-26
120,천지연폭포,1,제주특별자치도 서귀포시 천지동 653-2
121,서귀포 올레시장,3,제주특별자치도 서귀포시 중앙동 340
123,쇠소깍,1,제주특별자치도 서귀포시 남원읍 하례리 1889
124,따라비오름,1,제주 서귀포시 표선면 가시리 산62
126,기당미술관,2,제주 서귀포시 남성중로153번길 15
127,중문카트,2,제주특별자치도 서귀포시 예래동 193-5
128,테디베어 뮤지엄,2,제주특별자치도 서귀포시 예래동 2889
130,이중섭 미술관,2,제주 서귀포시 이중섭로 27-3
132,김녕해수욕장,1,제주특별자치도 제주시 오라동 34-14
133,메이즈랜드,2,제주특별자치도 제주시 오라동 34-14
135,오라동 청보리 메밀꽃밭,1,제주특별자치도 제주시 오라동 산76-2
139,제주터서커스,3,제주특별자치도 서귀포시 효돈동 1163
141,큰엉 해안,1,제주특별자치도 서귀포시 남원읍 남원리 1409
142,광치기 해변,1,제주특별자치도 서귀포시 성산읍 고성리 235
143,소인국테마파크,2,제주특별자치도 서귀포시 안덕면 서광리 1879-1
144,정방폭포,1,제주특별자치도 서귀포시 송산동
147,윗세오름,1,제주특별자치도 서귀포시 서호동
149,애월 한담 해안 산책로,3,제주특별자치도 제주시 애월읍 애월리 2628
